NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
417,Cancer,Cancer pancreatic,Diagnostic,M,CPRM,Doar cu aviz specializat,C,"Examinarea CPRM este utilă în caracterizarea căilor biliare, în special la pacienții cu icter, precum și în caracterizarea ductului pancreatic.",,0,0,Nu
418,Cancer,Cancer pancreatic,Diagnostic,D,Ecoendoscopie,Doar în cazuri particulare,B,Este utilă în cazuri particulare (tumoră de mici dimensiuni nonvizualizabilă prin examinare CT sau IRM) sau pentru realizarea unei biopsii diagnostice,,0,0,Nu
419,Cancer,Cancer pancreatic,Stadializare,M,IRM,Indicat,B,"Util în evaluarea metastazelor la pacienții cu tumori pancreatice rezecabile, dar cu extensie la distanță incertă. Secvența CPRM este utilă în caracterizarea arborelui biliar.",,0,0,Nu
420,Cancer,Cancer pancreatic,Stadializare,T,CT,Indicat,B,"Permite o caracterizare optimă loco-regională, inclusiv a invaziei vasculare, permițând clasificarea leziunilor în operabile, operabile ”borderline” sau inoperabile.",,3,3,Nu
421,Cancer,Cancer pancreatic,Stadializare,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,Reconstrucțiile de tip angiografic (angio-CT) sunt utile în caracterizarea invaziei vasculare. Stadializarea pacienților cu indicație chirurgicală,,4,4,Nu
422,Cancer,Cancer pancreatic,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
423,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină pancreatică,D,Ecoendoscopie,Indicat,B,Performanțe discret superioare evaluării CT și IRM în detecția tumorii primare,În corelatie cu evaluarea CT sau IRM permite cresterea randamentului diagnostic,0,0,Nu
424,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină pancreatică,M,IRM,Indicat,B,"IRM are rol în detectarea și localizarea leziunilor tumorale (în special raportul cu ductul pancreatic, pentru leziunile care pot beneficia de rezecții limitate), precum și în bilanțul extensiei tumorale fiind superioară examinării CT în bilanțul determinărilor metastatice la nivelul parenchimului hepatic","Gastroenteropancreatic Neuroendocrine Neoplasms: ESMO Clinical Practice Guidelines for Diagnosis, Treatment and Follow-up. Ann Oncol 2020; 31(5):",0,0,Nu
425,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină pancreatică,N,Scintigrafia (sau PET-CT) cu analogi ai receptorilor de somatostatină radiomarcati,Indicat,A,Detectarea și stadializarea tumorilor endocrine pancreatice bine diferențiate.,,3,4,Nu
426,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină pancreatică,T,CT,Indicat,B,"CT are rol în detectarea și localizarea leziunilor tumorale, în bilanțul extensiei tumorale și evidențierea variantelor anatomice arteriale, ductale biliare sau pancreatice.",Protocolul CT pentru pancreas include o fază arterială la 45–50 secunde după injectarea c.i.v. și o fază portală la 70 secunde.,3,4,Nu
427,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină pancreatică,N,PET-CT (F18-FDG),Doar în cazuri particulare,A,"Detectarea, stadializarea și restadializarea tumorilor pancreasului endocrin slab diferențiate.",,3,4,Nu
428,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină pancreatică,N,PET-CT cu F18-FDOPA,Doar în cazuri particulare,A,Evidențierea unei hiperplazii focale a celulelor beta pancreatice în caz de hiperinsulinism la copii.,,3,4,Nu
429,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină intestinală (suspiciune),T,Entero-CT,Indicat,B,Entero-CT-ul este tehnică de referință pentru explorarea unei tumori a intestinului subtire. Videocapsula endoscopica este indicată în caz de sângerare digestivă oculta.,,3,3,Nu
430,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină intestinală (suspiciune),N,PET-CT cu analogi ai receptorilor de somatostatină - Ga68,Doar în cazuri particulare,A,"Indicația primară este vizualizarea neoplasmelor neuroendocrine, SSTR exprimante, bine diferențiate (funcționale sau nefunctionale) în vederea stadializării, indicației de terapie radionuclidică țintită receptorilor SSTR, evaluării răspunsului terapeutic, restadializării și obținerea datelor prognostice.",,3,4,Nu
431,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină intestinală (suspiciune),M,Entero-IRM,Doar cu aviz specializat,C,"Entero-IRM poate fi realizat în caz de suspiciune tumorală, dar este un examen de specilizare inaltă.",,0,0,Nu
432,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),Tumoră neuroendocrină intestinală (suspiciune),N,Scintigrafia cu analogi ai receptorilor de somatostatină radiomarcati,Doar în cazuri particulare,A,Atunci când PET-CT cu Ga69-DOTA nu este disponibil și în caz de timp de programare prelungit.,,2,3,Nu
433,Cancer,Tumori neuroendocrine gastro-entero-pancreatice (GEP-NET),ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
434,Cancer,Cancer prostatic,Diagnostic,E,Ecografie endorectală cu biopsie ecoghidată,Indicat,B,"la pacienții cu suspiciune clinică, ecografia endorectală este indicată pentru ghidarea puncției - biopsie prostatice transrectale. Ecografia singura nu este specifica iar punctia este obligatorie.",,0,0,Nu
435,Cancer,Cancer prostatic,Diagnostic,M,IRM,Doar în cazuri particulare,B,suspiciune clinică + biopsie ecoghidată negativă;,,0,0,Nu
436,Cancer,Cancer prostatic,Stadializare,M,IRM,Indicat,B,Examinarea preferata pentru stadializarea extensiei locale pentru care este cea mai sensibilă și specifica metodă; poate evidenția extensia tumorală pelviana și ganglionară.,,0,0,Nu
437,Cancer,Cancer prostatic,Stadializare,N,"Scintigrafie osoasă
(99mTc- HDP, 99mTc-HMDP, 99mTc-MDP) WB și
SPECT-CT",Indicat,B,"Pentru detectarea metastazelor osoase la pacienți cu risc. Indicația de scintigrafie osoasă depinde de concentrația plasmatică de PSA, de tipul histologic al tumorii, de extensia tumorală și de semnele de alarmă osoase (de exemplu dureri).",,2,2,Nu
438,Cancer,Cancer prostatic,Stadializare,T,CT,Doar în cazuri particulare,C,fără rol în stadializarea locală; indicat pentru evaluara adenopatiilor abdominopelviene sau metastaze la distanță.,,3,3,Nu
439,Cancer,Cancer prostatic,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
440,Cancer,Cancer testicular,Diagnostic,E,Ecografie scrotală,Indicat,B,depisteaza prezența unei mase; arată natura intra sau extratesticulară a unei mase diagnosticată clinic; urmărirea maselor pseudotumorale.,,0,0,Nu
441,Cancer,Cancer testicular,Diagnostic,M,IRM,Doar în cazuri particulare,B,caracterizarea maselor nedeterminate;,,0,0,Nu
442,Cancer,Cancer testicular,Monitorizare,T,CT,Indicat,B,torace abdomen timp de 2 ani; evaluarea răspunsului la tratament în faze avansate;,,3,3,Nu
443,Cancer,Cancer testicular,Monitorizare,G,Radiografie toracică,Doar în cazuri particulare,B,pentru urmărirea pacienților cu tumori germinale nonseminomatoase stadiul I; dacă CT nu este disponibil.,,1,1,Nu
444,Cancer,Cancer testicular,Monitorizare,M,IRM,Doar în cazuri particulare,B,adenopatii abdominale,,0,0,Nu
445,Cancer,Cancer testicular,Monitorizare,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,"Evidențierea unor mase tumorale restante după efectuarea tratamentului, în prezența creșterii izolate a concentrației plasmatice a markerilor tumorali, cu examene imagistice convenționale normale.",,4,4,Nu
446,Cancer,Cancer testicular,Stadializare,T,"CT (torace, abdomen, pelvis)",Indicat,B,CT-ul este examenul principal și va fi realizat ca examen de referință în momentul diagnosticului bolii.,,3,3,Nu
447,Cancer,Cancer testicular,Stadializare,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,Caracterizarea leziunilor neevidentiate pe examenul CT standard și a posibilelor metastaze la distanță.,,4,4,Nu
448,Cancer,Cancer testicular,Stadializare,M,IRM,Doar cu aviz specializat,B,poate detecta adenopatiile abdominale cu acuratețe similara celei a CT,,0,0,Nu
449,Cancer,Cancer testicular,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
450,Cancer,Cancer tiroidian,Diagnostic,E,Ecografie,Indicat,B,Asociată cu puncție citologică cu ac fin,,0,0,Nu
451,Cancer,Cancer tiroidian,Stadializare,E,Ecografie,Indicat,B,"Extensia tumori mari, metastaze, alte tumori endocrine (MEN)",,0,0,Nu
452,Cancer,Cancer tiroidian,Stadializare,M,IRM regiune cervicală,Indicat,B,"Extensia tumori mari, adenopatii, metastaze, alte tumori endocrine (MEN)",,0,0,Nu
453,Cancer,Cancer tiroidian,Stadializare,N,Scintigrafie (Iod 131),Indicat,B,Scintigrafie corp întreg - detectare tumorilor reziduale/ recurente în carcinomul tiroidian diferențiat.,,4,4,Nu
454,Cancer,Cancer tiroidian,Stadializare,T,CT regiune cervicală,Indicat,B,"Extensia tumori mari, metastaze, alte tumori endocrine (MEN)",,2,2,Nu
455,Cancer,Cancer tiroidian,Stadializare,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,"Detecția recidivelor tumorale, în prezența creșterii markerilor tumorali (tireoglobulina, Ac. antitireoglobulina, TSH), în prezența unei scintigrafii WB cu I131 normale.",,4,4,Nu
456,Cancer,Cancer tiroidian,Monitorizare,E,Ecografie,Indicat,A,"Precoce (< 1 an postoperator); dacă scintigrafia postoperatorie nu relevă relicvate tiroidiene; se realizează la 8-12 luni posttiroidectomie, la pacienții în remisie biologică; dacă scintigrafia postoperatorie indică suspiciunea de focare restante; ghidează citopuncția leziunilor suspecte cu dozarea în situ a tiroglobulinei (Tg); dacă postoperator concentrația de Tg este anormal crescută; Tardiv (> 1an postoperator) în caz de remisie completă, clinică, biologică și ecografică (1 examen) - 1 examinare / an la risc intermediar și 1 examinare / 3 ani la risc mic de recidivă; de primă intenție în absența remisiei complete; bilanț ganglionar în cancerele medulare",,0,0,Nu
457,Cancer,Cancer tiroidian,Monitorizare,M,IRM osteo-medular cu secvență de difuzie,Indicat,B,IRM osteomedular în caz de imagine osoasă suspectă sau calcitonină anormal crescută (cc. medular),,0,0,Nu
458,Cancer,Cancer tiroidian,Monitorizare,N,PET-CT (F18-FDG),Indicat,B,Dacă scintigrafia postoperatorie indică suspiciunea de focare restante; dacă postoperator concentrația de Tg este anormal crescută. Detecția metastazelor non-iodofixante; tardiv (> 1 an postoperator) în caz de remisie incompletă. În caz de suspiciune de metastaze ale unui cancer medular sau slab diferențiat/nediferențiat.,,4,4,Nu
459,Cancer,Cancer tiroidian,Monitorizare,T,CT cervicotoracic,Indicat,B,dacă scintigrafia postoperatorie indică suspiciunea de focare restante; dacă postopertor concentrația de Tg este anormal crescută; tardiv (> 1an postoperator) în caz de remisie incompletă; bilanț preoperator în cancerele medulare; IRM osteomedular în caz de imagine osoasă suspectă sau calcitonină anormal crescută (cc. medular),,2,2,Nu
460,Cancer,Cancer tiroidian,Monitorizare,N,Scintigrafie cu iod-131,Doar în cazuri particulare,B,În prezența anticorpilor anti-tiroglobulina; a nu se efectua dacă se are în vedere terapie cu iod - 131; în cursul terapiei cu iod pentru recăderi; a scheletului pentru imagini suspecte osoase în caz de cancer medular.,,2,2,Nu
461,Cancer,Cancer tiroidian,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
462,Cancer,Cancer vezical,Diagnostic,E,Ecografie,Doar în cazuri particulare,B,Pot detecta tumori mari la pacienții cu simptome sugestive. Pot contribui la planificarea operației la anumiți pacienți.,,0,0,Nu
463,Cancer,Cancer vezical,Diagnostic,T,CT (incl Ecografie iv uroCT),Doar în cazuri particulare,B,Pot detecta tumori mari la pacienții cu simptome sugestive; uro CT poate detecta tumori < 5 mm. Pot contribui la planificarea operației la anumiți pacienți.,,3,3,Nu
464,Cancer,Cancer vezical,Diagnostic,X,UIV,Neindicat,C,Cistoscopia este investigația esențială pentru diagnosticul tumorilor vezicale.,,2,2,Nu
465,Cancer,Cancer vezical,Stadializare,M,IRM,Indicat,B,"CT foarte utilă în evaluarea extensiei extramurale, în pelvis, metastaze abdominale, toracice. UroCT pentru tumori uroteliale înalte; IRM - mai utilă decât CT în evaluarea invaziei locale.",,0,0,Nu
466,Cancer,Cancer vezical,Stadializare,T,CT,Indicat,B,"CT foarte utilă în evaluarea extensiei extramurale, în pelvis, metastaze abdominale, toracice. UroCT pentru tumori uroteliale înalte; IRM - mai utilă decât CT în evaluarea invaziei locale.",,3,3,Nu
467,Cancer,Cancer vezical,Stadializare,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,Rol redus în stadializare; poate detecta metastaze oculte loco-regionale sau la distanță.,,4,4,Nu
468,Cancer,Cancer vezical,Stadializare,X,UIV,Neindicat,C,,,2,2,Nu
469,Cancer,Cancer vezical,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
470,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",Stadializare,E,Ecografie,Indicat,B,Aspirația biopsie ecoghidată ameliorează stadializarea N.,,0,0,Nu
471,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",Stadializare,M,IRM regiune cervicală,Indicat,B,"Diagnosticul este stabilit prin examene clinic + endoscopic și examenul histologic al materialului bioptic. IRM foarte utilă în bilanțul de extensie locală, afectarea medularei osoase mandibulare. Stadializare pentru limfadenopatie cervicală caz în care IRM este mai bun decât CT.",,0,0,Nu
472,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",Stadializare,N,PET-CT (F18-FDG),Indicat,B,Detecția unor metastaze loco-regionale și la distanță și ghidarea planului de radioterapie.,,4,4,Nu
473,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",Stadializare,T,CT regiune cervicală și torace,Indicat,B,Diagnosticul este stabilit prin examene clinic + endoscopic și examenul histologic al materialului bioptic. CT pentru liza osoasă. Stadializare pentru limfadenopatie cervicală; IRM mai bun decât CT; aspirația biopsie ecoghidată ameliorează stadializarea N; Un CT de torace trebuie realizat în același timp cu CT-ul cervical.,,2,2,Nu
474,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",Monitorizare,M,IRM regiune cervicală,Indicat,B,Între 3 - 6 luni; se caută relicvat tumoral,,0,0,Nu
475,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",Monitorizare,N,PET-CT (F18-FDG),Indicat,B,"Detectarea recurentelor locale sau la distanță, dacă alte tehnici imagistice sunt echivoce; Pentru limitarea riscul de rezultate fals pozitive (țesut inflamator postterapeutic), se preferă efectuarea examenului la cel puțin 3 luni după tratament.",,4,4,Nu
476,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",Monitorizare,T,CT regiune cervicală și torace,Indicat,B,Între 3 - 6 luni; se caută relicvat tumoral,,2,2,Nu
477,Cancer,"Cancerul de căi aero-digestive superioare (cavitate bucală, orofaringe)",ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
478,Cancer,Cancerul nazofaringian,Diagnostic,M,IRM regiune cervicală,Indicat,B,Diagnosticul este stabilit prin examene endoscopice și examenul histologic al materialului bioptic; indicat în cancere nazofaringiene mascate de hipertrofie de vegetații adenoide și dificil de vizualizat la examenul fibroscopic; efectuat ca examinare de primă intenție.,,0,0,Nu
479,Cancer,Cancerul nazofaringian,Diagnostic,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,"Util în cazuri cu biopsiile nondiagnostice, orienteaza rebiopsierea (alegerea unei regiuni active metabolic din cadrul tumorii care să poată oferi informații diagnostice în cea mai mare măsură).",,4,4,Nu
480,Cancer,Cancerul nazofaringian,Stadializare,M,IRM regiune cervicală,Indicat,B,"IRM-ul este indicat în primă intenție pentru bilanțul extensiei locale a acestor cancere ; bilanț ganglionar, nazosinusal, perineural și al afectarii spațiilor profunde",,0,0,Nu
481,Cancer,Cancerul nazofaringian,Stadializare,N,PET-CT (F18-FDG),Indicat,B,Stadializarea cancerelor avansate (T3-T4) sau a celor agresive (grad 2-3) sau pentru detectarea unor metastaze care pot influenta planul terapeutic,,4,4,Nu
482,Cancer,Cancerul nazofaringian,Stadializare,T,CT cervico-toracal,Indicat,B,CT-ul este util pentru vizualizarea extensiei osoase. Este în acest caz un examen complementar IRM-ului și se efectuează ca a doua intenție; poate fi realizat în același timp și un CT pulmonar; înlocuieste IRM dacă acesta nu este disponibil sau e contraindicat.,,2,2,Nu
483,Cancer,Cancerul nazofaringian,Monitorizare,M,IRM cerebral și regiune cervicală,Indicat,B,IRM-ul este examenul de primă intenție pentru depistarea recidivelor locale sau intracraniene post radioterapie.,,0,0,Nu
484,Cancer,Cancerul nazofaringian,Monitorizare,N,PET-CT (F18-FDG),Indicat,B,Fiabilitate excelentă pentru punerea în evidență a recidivelor; valoare predictiva negativă foarte mare.,,4,4,Nu
485,Cancer,Cancerul nazofaringian,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
486,Cancer,Cancerul parotidian,Diagnostic,E,Ecografie,Indicat,B,Caracterizarea maselor parotidiene; metodă de elecție dacă e necesară o puncție citologică ecoghidată. Abordare dificilă a lobului profund parotidian.,,0,0,Nu
487,Cancer,Cancerul parotidian,Diagnostic,M,IRM regiune cervicală,Indicat,B,"IRM-ul este net preferabil CT-ului; metodă complementară ecografiei în evaluarea lobului profund parotidian; dacă e necesară stabilirea caracterului unic sau multiplu al leziunilor și a localizării lor exacte (lob superficial, lob profund). Examenul IRM este justificat în monitorizarea tumorilor operate. (CT - calcificări intratumorale, modificări inflamatorii; bilanț de extensie osoasă de vecinătate.)",,0,0,Nu
488,Cancer,Cancerul parotidian,Diagnostic,T,CT regiune cervicală,Doar în cazuri particulare,B,"Examinarea CT evidențiază calcificări intratumorale, modificări inflamatorii; bilanț de extensie osoasă de vecinătate. IRM-ul este net preferabil CT-ului; metodă complementară ecografiei în evaluarea lobului profund parotidian; dacă e necesară stabilirea caracterului unic sau multiplu al leziunilor și a localizării lor exacte (lob superficial, lob profund). Examenul IRM este justificat în monitorizarea tumorilor operate.",,2,2,Nu
489,Cancer,Cancerul parotidian,Diagnostic,N,PET-CT (F18-FDG),Neindicat,B,,,3,3,Nu
490,Cancer,Cancerul parotidian,Stadializare,E,Ecografie,Indicat,B,"Pentru tumori mici, la examinatori experimentati, ecografia glandelor salivare și a limfonodulilor cervicali este singura examinare necesară pentru stadializare.",,0,0,Nu
491,Cancer,Cancerul parotidian,Stadializare,M,IRM regiune cervicală,Indicat,B,IRM preferabilă CT pentru stadializare locoregională; IRM examen de elecție pentru extrensie perineurală și intracraniană.,,0,0,Nu
492,Cancer,Cancerul parotidian,Stadializare,T,CT,Indicat,B,IRM preferabilă CT pentru stadializare locoregională; IRM examen de elecție pentru extrensie perineurală și intracraniană.,,0,0,Nu
493,Cancer,Cancerul parotidian,Stadializare,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,Detecția unor adenopatii metastatice loco-regionale și la distanță.,,4,4,Nu
494,Cancer,Cancerul parotidian,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
495,Cancer,Cancerul renal,Diagnostic,E,Ecografie,Indicat,B,Ecografia este un examen sensibil pentru detectarea maselor renale ce depășesc 2 cm și eficace pentru caracterizarea unei formațiuni chistice sau solide. Agenții de contrast permit caracterizarea chistelor complexe.,,0,0,Nu
496,Cancer,Cancerul renal,Diagnostic,T,CT,Indicat,B,"CT-ul este sensibil în detectarea și caracterizarea maselor renale mai mari de 0,75 cm; examinare principală pentru caracterizarea maselor renale chistice complexe; UroCT - examinarea de elecție pentru detectarea tumorilor uroteliale (bazinet, uretere).",,3,3,Nu
497,Cancer,Cancerul renal,Diagnostic,X,UIV,Doar în cazuri particulare,C,Detectarea tumorilor uroteliale dacă CT nu este disponibil,,2,2,Nu
498,Cancer,Cancerul renal,Diagnostic,M,IRM,Doar cu aviz specializat,B,La fel de sensibilă ca și CT; pentru caracterizarea maselor incomplet evaluate CT; dacă există contraindicații la iod.,,0,0,Nu
499,Cancer,Cancerul renal,Monitorizare,G,Radiografie toracică,Indicat,B,"La pacienții cu risc scăzut de recurență (T1/T2), la intervale regulate, timp de 5 ani postoperator",,1,1,Nu
500,Cancer,Cancerul renal,Monitorizare,T,CT (abdomen și torace),Indicat,B,CT-ul este recomandat ca examen de rutină pentru monitorizarea postterapeutică la pacienții cu risc intermediar / ridicat de recurență,,3,3,Nu
501,Cancer,Cancerul renal,Monitorizare,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,"Rol limitat, cazuri problematice.",,4,4,Nu
502,Cancer,Cancerul renal,Stadializare,M,IRM,Indicat,B,IRM - pentru soluționarea unor probleme apărute în evaluarea CT (gradul de afectare vasculară); dacă există contraindicații la iod.,,0,0,Nu
503,Cancer,Cancerul renal,Stadializare,T,CT,Indicat,B,CT - investigația de elecție; detectarea de metastaze pulmonare și la distanță.,,3,3,Nu
504,Cancer,Cancerul renal,Stadializare,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,Nu prezintă avantaje în stadializarea tumorală; Ajută la realizarea unui bilanț de extensie: evaluarea metastazelor în cazul unor examene CT/IRM neconcludente,,4,4,Nu
505,Cancer,Cancerul renal,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
506,Cancer,"Ficat, colecist și pancreas",Colangiocarcinom și cancerul veziculei biliare – Diagnostic,E,Ecografie,Indicat,B,Utilă în diagnosticul inițial și în bilanțul lezional local.,,0,0,Nu
507,Cancer,"Ficat, colecist și pancreas",Drenaj biliar / pancreatic (ERCP),D,ERCP,Doar cu aviz specializat,C,"Examinarea CPRM este utilă în caracterizarea căilor biliare, în special la pacienții cu icter, precum și în caracterizarea ductului pancreatic.",RI - PC8,3,3,Da
508,Cancer,"Ficat, colecist și pancreas",Colangiocarcinom și cancerul veziculei biliare – Diagnostic,M,IRM,Indicat,B,"Utilă în bilanțul extensiei locale și hepatice; extensia longitudinală stabilește indicația terapeutică, chirurgicală, endoprotezare endoscopcă, drenaj biliar.",Evaluarea IRM este metodă de elecție în caracterizarea și stadializarea colangiocarcinomului (varianta intrahepatica și cea care implica CB mari) precum și în evaluarea preterapeutica a cancerului vezicular biliar,0,0,Nu
509,Cancer,"Ficat, colecist și pancreas",Colangiocarcinom și cancerul veziculei biliare – Diagnostic,T,CT abdominal,Indicat,B,"Util în diagnosticul leziunii tumorale biliare, precum și în bilanțul extensiei locale și la distanță",,3,3,Nu
510,Cancer,"Ficat, colecist și pancreas",Colangiocarcinom și cancerul veziculei biliare – Diagnostic,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,"Realizarea bilanțului extensiei loco-regionale și la distanță la candidații pentru cura chirurgicală.
Pentru reevaluare locală postoperatorie și evidențierea recidivelor.",,4,4,Nu
511,Cancer,"Ficat, colecist și pancreas",ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
512,Cancer,Limfom,Diagnostic,E,Ecografie,Indicat,B,"Diagnosticul este pus în general prin biopsia excizională unui ganglion periferic; metodele imagistice sunt utilizate pentru ghidarea puncției biopsie, mai ales la cazuri cu comorbiditati.",,0,0,Nu
513,Cancer,Limfom,Diagnostic,T,CT,Indicat,B,"Diagnosticul este pus în general prin biopsia excizională unui ganglion periferic; metodele imagistice sunt utilizate pentru ghidarea puncției biopsie, mai ales la cazuri cu comorbiditati.",,3,3,Nu
514,Cancer,Limfom,Monitorizare,G,Radiografie toracică,Indicat,B,evaluare inițială a răspunsului terapeutic în macroadenopatie toracică; urmărirea de durata postterapeutică,,1,1,Nu
515,Cancer,Limfom,Monitorizare,T,CT,Indicat,B,"Dimensiunea leziunilor după tratament trebuie să fie măsurată CT pentru determinarea răspunsului la tratament. Se efectuează în boală Hodgkin, pentru controlul zonelor invadate la stabilirea bilanțului inițial de extensie. Dacă există o suspiciune clinică de recidivă sau de progresie, este bine ca examenul CT să fie reefectuat sau mai bine cuplat cu TEP cu 18FDG (torace, abdomen și pelvis, mai ales pentru limfoamele nonhodgkiniene). Dacă se obține remisia completă, ritmicitatea urmăririi este dictată de probabilitatea de recădere.",,3,3,Nu
516,Cancer,Limfom,Monitorizare,M,IRM,Doar în cazuri particulare,B,pentru evaluarea afectarii SNC,,0,0,Nu
517,Cancer,Limfom,Monitorizare,N,PET-CT (F18-FDG),Doar în cazuri particulare,B,"PET-CT este recomandat pentru evaluarea bolii reziduale în boală Hodgkin, LNH agresive și pentru evaluarea precoce a răspunsului terapeutic. Rolul în LNH de grad mic este incert.",,4,4,Nu
518,Cancer,Limfom,Stadializare,N,PET-CT (F18-FDG),Indicat,B,"Foarte sensibil și specific, indicat pentru stadializarea limfoamelor Hodgkin și non-hodgkin de grad înalt.",,4,4,Nu
519,Cancer,Limfom,Stadializare,T,CT,Indicat,B,"Examinarea torace-abdomen-pelvis este rutină. În funcție de localizarea leziunilor, trebuie explorate de asemenea capul și gâtul.",,3,3,Nu
520,Cancer,Limfom,Stadializare,E,Ecografie,Doar în cazuri particulare,B,"Ecogafia indicată pentru evaluarea ganglionilor cervicali, tiroida, testicul, mase tisulare periferice.",,0,0,Nu
521,Cancer,Limfom,Stadializare,M,IRM,Doar în cazuri particulare,B,"IRM folosită pentru afectarea SNC, medulara precum și a maduvei osoase.",,0,0,Nu
522,Cancer,Limfom,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
523,Cancer,Melanom malign,Monitorizare,T,CT,Indicat,B,Cel mai accesibilă modalitate de detectare a metastazelor; pacienții cu excizie largă și biopsie negativă a ganglionului santinelă nu necesită urmărire imagistică periodică,,3,3,Nu
524,Cancer,Melanom malign,Monitorizare,M,IRM whole body,Doar cu aviz specializat,C,Detectarea metastazelor în funcție de indicația clinică,,0,0,Nu
525,Cancer,Melanom malign,Monitorizare,N,PET-CT (F18-FDG),Doar cu aviz specializat,C,Detecția unor recidive tumorale și monitorizarea răspunsului la tratament.,,4,4,Nu
526,Cancer,Melanom malign,Stadializare,E,Ecografie,Indicat,B,Diagnosticul pozitiv se realizează prin biopsie excizională; detectarea limfadenopatiilor regionale; ghidarea puncției bioptice ganglionare; caracterizarea leziunilor hepatice nedeterminate la CT.,,0,0,Nu
527,Cancer,Melanom malign,Stadializare,N,Limfoscintigrafia ganglionului santinelă,Indicat,B,"Evidențierea primei stații ganglionare în care dreneaza tumoră, cu scopul biopsiei ganglionare sau evidării chirurgicale cu viză curativă.",,2,2,Nu
528,Cancer,Melanom malign,Stadializare,T,CT,Indicat,B,Pentru detectarea metastazelor; indicată după biopsie pozitivă a ganglionului santinelă sau când există semne/simptome care indică probabilitatea metastazelor,,3,3,Nu
529,Cancer,Melanom malign,Stadializare,M,IRM whole body,Doar în cazuri particulare,C,"Detectarea metastazelor simptomatice/asimptomatice la melanoame cu risc înalt (cerebral), mai ales dacă se are în vedere operația pentru metastază solitară sau boală oligometastatică.",,0,0,Nu
530,Cancer,Melanom malign,Stadializare,N,PET-CT (F18-FDG),Doar cu aviz specializat,B,Dacă se are în vedere operația pentru metastază solitară sau boală oligometastatică.,,4,4,Nu
