NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
925,Sân,Paciente asimptomatice,Depistare (Screening): femei cu vârste sub 40 ani,G,Mamografie,Neindicat,B,Nu există evidențe care să susțină screeningul femeilor fără factori de risc sub 40 ani.,,1,1,Nu
926,Sân,Paciente asimptomatice,Femei înaintea unei plastii pentru augmentare sau reducție mamară,E,Ecografie,Indicat,C,"Cu toate că nu există în literatura de specialitate argumente care să susțină necesitatea unei ecografii preoperatorii, aceasta este utilă, în special la tinere și în cazul sânilor denși pentru a documenta eventualele modificări benigne (care ar duce la modificarea tehnicii operatorii) și pentru detectarea unui cancer infraclinic.",,0,0,Nu
927,Sân,Paciente asimptomatice,Femei înaintea unei plastii pentru augmentare sau reducție mamară,G,Mamografie,Indicat,C,"Cu toate că nu există în literatura de specialitate argumente care să susțină necesitatea unei mamografii preoperatorii, aceasta este utilă pentru excluderea unei malignități, la femeia peste 35 ani.",,1,1,Nu
928,Sân,Paciente asimptomatice,Depistare (Screening): femei cu augmentare mamară,E,Ecografie,Indicat,B,Adjuvant al mamografiei,,0,0,Nu
929,Sân,Paciente asimptomatice,Depistare (Screening): femei cu augmentare mamară,G,Mamografie,Indicat,B,La femei peste 40 ani. Sensibilitatea depistării cancerului este mai mică decât la femeile fără augmentare mamară. Mamografia digitală poate fi utilă.,,1,1,Nu
930,Sân,Paciente asimptomatice,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
931,Sân,Paciente cu simptome și semne nesugestive de cancer,Inflamație mamară,E,Ecografie,Indicat,C,"Primul examen ce trebuie realizat în fază acută. Utilă pentru diagnosticul abceselor, drenajul ghidat percutan și pentru urmărire.",,0,0,Nu
932,Sân,Paciente cu simptome și semne nesugestive de cancer,Inflamație mamară,G,Mamografie,Doar în cazuri particulare,C,În cazurile în care există persistența fenomenelor inflamatorii după tratament.,,1,1,Nu
933,Sân,Paciente cu simptome și semne nesugestive de cancer,Inflamație mamară,M,IRM,Doar în cazuri particulare,C,"În cazurile în care există persistența fenomenelor inflamatorii după tratament, cu mamografie și ecografie negative pentru malignitate",,0,0,Nu
934,Sân,Paciente cu simptome și semne nesugestive de cancer,"Nodularitate mamară, durere, tensiune mamară, secreție mamelonară bilaterală nespecifică sau retracție mamelonară veche",E,Ecografie,Indicat,C,La femei sub 40 ani,,0,0,Nu
935,Sân,Paciente cu simptome și semne nesugestive de cancer,"Nodularitate mamară, durere, tensiune mamară, secreție mamelonară bilaterală nespecifică sau retracție mamelonară veche",G,Mamografie,Indicat,C,La femei peste 40 ani,,1,1,Nu
936,Sân,Paciente cu simptome și semne nesugestive de cancer,Verificarea integrității unui implant mamar cu silicon,E,Ecografie,Indicat,B,"Numai dacă există semne de ruptură de implant, în lipsa accesului la examen IRM",,0,0,Nu
937,Sân,Paciente cu simptome și semne nesugestive de cancer,Verificarea integrității unui implant mamar cu silicon,M,IRM,Indicat,A,Numai dacă există semne clinice de complicații ale implantului,,0,0,Nu
938,Sân,Paciente cu simptome și semne nesugestive de cancer,Verificarea integrității unui implant mamar cu silicon,G,Mamografie,Neindicat,B,,,1,1,Nu
939,Sân,Paciente cu simptome și semne nesugestive de cancer,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
940,Sân,Paciente cu simptome și semne sugestive de cancer,Suspiciune clinică de cancer la paciente cu augmentare (implante),G,Mamografie,Indicat,B,Sunt recomandate aceleași investigații ca la pacientele fără augmentare. Mamografia la pacientele cu augmentare mamară prezintă sensibilitate mai scăzută.,,1,1,Nu
941,Sân,Paciente cu simptome și semne sugestive de cancer,Suspiciune clinică de cancer la paciente cu augmentare (implante),E,Ecografie,Indicat,B,Complementar mamografiei,,0,0,Nu
